,0A,0B,1A,1B,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,7,8
NonResidential,0.56,0.57,0.56,0.57,0.5,0.52,0.5,0.54,0.53,0.53,0.52,0.54,0.51,0.51,0.5,0.5,0.5,0.5,0.46
Residential,0.68,0.7,0.68,0.7,0.66,0.66,0.69,0.68,0.59,0.74,0.76,0.74,0.7,0.73,0.75,0.68,0.71,0.68,0.72
MidriseApartment,0.68,0.7,0.68,0.7,0.66,0.66,0.69,0.68,0.59,0.74,0.76,0.74,0.7,0.73,0.75,0.68,0.71,0.68,0.72
HighriseApartment,0.68,0.7,0.68,0.7,0.66,0.66,0.69,0.68,0.59,0.74,0.76,0.74,0.7,0.73,0.75,0.68,0.71,0.68,0.72
LargeOffice,0.52,0.57,0.52,0.57,0.5,0.56,0.53,0.56,0.48,0.51,0.52,0.49,0.51,0.51,0.49,0.52,0.51,0.49,0.51
MediumOffice,0.52,0.57,0.52,0.57,0.5,0.56,0.53,0.56,0.48,0.51,0.52,0.49,0.51,0.51,0.49,0.52,0.51,0.49,0.51
SmallOffice,0.52,0.57,0.52,0.57,0.5,0.56,0.53,0.56,0.48,0.51,0.52,0.49,0.51,0.51,0.49,0.52,0.51,0.49,0.51
Retail,0.51,0.54,0.51,0.54,0.49,0.55,0.51,0.55,0.53,0.51,0.55,0.54,0.5,0.54,0.55,0.5,0.51,0.48,0.5
StripMall,0.51,0.54,0.51,0.54,0.49,0.55,0.51,0.55,0.53,0.51,0.55,0.54,0.5,0.54,0.55,0.5,0.51,0.48,0.5
PrimarySchool,0.39,0.47,0.39,0.47,0.38,0.43,0.38,0.42,0.4,0.37,0.4,0.38,0.36,0.4,0.36,0.36,0.37,0.36,0.37
SecondarySchool,0.39,0.47,0.39,0.47,0.38,0.43,0.38,0.42,0.4,0.37,0.4,0.38,0.36,0.4,0.36,0.36,0.37,0.36,0.37
SmallHotel,0.55,0.53,0.55,0.53,0.53,0.52,0.53,0.54,0.54,0.53,0.53,0.52,0.5,0.51,0.51,0.5,0.51,0.5,0.5
LargeHotel,0.55,0.53,0.55,0.53,0.53,0.52,0.53,0.54,0.54,0.53,0.53,0.52,0.5,0.51,0.51,0.5,0.51,0.5,0.5
Hospital,0.6,0.6,0.6,0.6,0.58,0.54,0.56,0.55,0.55,0.55,0.54,0.54,0.57,0.52,0.54,0.57,0.52,0.57,0.57
Outpatient,0.6,0.6,0.6,0.6,0.58,0.54,0.56,0.55,0.55,0.55,0.54,0.54,0.57,0.52,0.54,0.57,0.52,0.57,0.57
Warehouse,0.38,0.42,0.38,0.42,0.4,0.42,0.43,0.44,0.43,0.44,0.43,0.46,0.49,0.47,0.48,0.54,0.51,0.57,0.57
SuperMarket,0.56,0.57,0.56,0.57,0.5,0.52,0.5,0.54,0.53,0.53,0.52,0.54,0.51,0.51,0.5,0.5,0.5,0.5,0.46
FullServiceRestaurant,0.63,0.64,0.63,0.64,0.6,0.6,0.6,0.61,0.58,0.62,0.57,0.61,0.63,0.6,0.64,0.65,0.62,0.67,0.7
QuickServiceRestaurant,0.63,0.64,0.63,0.64,0.6,0.6,0.6,0.61,0.58,0.62,0.57,0.61,0.63,0.6,0.64,0.65,0.62,0.67,0.7
Laboratory,0.56,0.57,0.56,0.57,0.5,0.52,0.5,0.54,0.53,0.53,0.52,0.54,0.51,0.51,0.5,0.5,0.5,0.5,0.46
Courthouse,0.56,0.57,0.56,0.57,0.5,0.52,0.5,0.54,0.53,0.53,0.52,0.54,0.51,0.51,0.5,0.5,0.5,0.5,0.46
