,0A,0B,1A,1B,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,7,8
NonResidential,0.62,0.61,0.62,0.61,0.55,0.57,0.56,0.61,0.59,0.58,0.57,0.61,0.57,0.57,0.61,0.56,0.56,0.53,0.52
Residential,0.73,0.73,0.73,0.73,0.71,0.69,0.74,0.73,0.68,0.78,0.81,0.81,0.76,0.8,0.81,0.76,0.79,0.74,0.8
MidriseApartment,0.73,0.73,0.73,0.73,0.71,0.69,0.74,0.73,0.68,0.78,0.81,0.81,0.76,0.8,0.81,0.76,0.79,0.74,0.8
HighriseApartment,0.73,0.73,0.73,0.73,0.71,0.69,0.74,0.73,0.68,0.78,0.81,0.81,0.76,0.8,0.81,0.76,0.79,0.74,0.8
LargeOffice,0.58,0.62,0.58,0.62,0.57,0.62,0.6,0.64,0.54,0.58,0.6,0.58,0.6,0.61,0.58,0.61,0.61,0.57,0.61
MediumOffice,0.58,0.62,0.58,0.62,0.57,0.62,0.6,0.64,0.54,0.58,0.6,0.58,0.6,0.61,0.58,0.61,0.61,0.57,0.61
SmallOffice,0.58,0.62,0.58,0.62,0.57,0.62,0.6,0.64,0.54,0.58,0.6,0.58,0.6,0.61,0.58,0.61,0.61,0.57,0.61
Retail,0.52,0.58,0.52,0.58,0.53,0.58,0.54,0.62,0.6,0.55,0.6,0.6,0.55,0.59,0.61,0.55,0.58,0.53,0.53
StripMall,0.52,0.58,0.52,0.58,0.53,0.58,0.54,0.62,0.6,0.55,0.6,0.6,0.55,0.59,0.61,0.55,0.58,0.53,0.53
PrimarySchool,0.46,0.53,0.46,0.53,0.47,0.53,0.49,0.52,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.47,0.51
SecondarySchool,0.46,0.53,0.46,0.53,0.47,0.53,0.49,0.52,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.47,0.51
SmallHotel,0.64,0.65,0.64,0.65,0.62,0.6,0.63,0.65,0.64,0.62,0.64,0.62,0.6,0.61,0.6,0.59,0.61,0.57,0.58
LargeHotel,0.64,0.65,0.64,0.65,0.62,0.6,0.63,0.65,0.64,0.62,0.64,0.62,0.6,0.61,0.6,0.59,0.61,0.57,0.58
Hospital,0.64,0.56,0.64,0.56,0.6,0.56,0.6,0.56,0.54,0.57,0.53,0.55,0.59,0.52,0.55,0.57,0.52,0.56,0.56
Outpatient,0.64,0.56,0.64,0.56,0.6,0.56,0.6,0.56,0.54,0.57,0.53,0.55,0.59,0.52,0.55,0.57,0.52,0.56,0.56
Warehouse,0.51,0.52,0.51,0.52,0.56,0.58,0.57,0.59,0.63,0.58,0.6,0.63,0.6,0.61,0.65,0.66,0.66,0.67,0.67
SuperMarket,0.62,0.61,0.62,0.61,0.55,0.57,0.56,0.61,0.59,0.58,0.57,0.61,0.57,0.57,0.61,0.56,0.56,0.53,0.52
FullServiceRestaurant,0.62,0.62,0.62,0.62,0.58,0.61,0.6,0.6,0.61,0.58,0.55,0.6,0.62,0.58,0.6,0.63,0.6,0.65,0.68
QuickServiceRestaurant,0.62,0.62,0.62,0.62,0.58,0.61,0.6,0.6,0.61,0.58,0.55,0.6,0.62,0.58,0.6,0.63,0.6,0.65,0.68
Laboratory,0.62,0.61,0.62,0.61,0.55,0.57,0.56,0.61,0.59,0.58,0.57,0.61,0.57,0.57,0.61,0.56,0.56,0.53,0.52
Courthouse,0.62,0.61,0.62,0.61,0.55,0.57,0.56,0.61,0.59,0.58,0.57,0.61,0.57,0.57,0.61,0.56,0.56,0.53,0.52
